Continente,Country,Poblacion,Cantidad Poblacion
África,Algeria,40606052,10M a 100M
África,Angola,28813463,10M a 100M
África,Benin,10872298,10M a 100M
África,Botswana,2250260,1M a 10M
África,Burkina Faso,18646433,10M a 100M
África,Burundi,10524117,10M a 100M
África,Cabo Verde,539560,0 a 1M
África,Cameroon,23439189,10M a 100M
África,Central African Republic,4594621,1M a 10M
África,Chad,14452543,10M a 100M
África,Comoros,795601,0 a 1M
África,Côte d'Ivoire,23695919,10M a 100M
África,Democratic Republic of the Congo,78736153,10M a 100M
África,Djibouti,942333,0 a 1M
África,Egypt,95688681,10M a 100M
África,Equatorial Guinea,1221490,1M a 10M
África,Ethiopia,102403196,100M +
África,Gabon,1979786,1M a 10M
África,Ghana,28206728,10M a 100M
África,Guinea,12395924,10M a 100M
África,Guinea-Bissau,1815698,1M a 10M
África,Kenya,48461567,10M a 100M
África,Lesotho,2203821,1M a 10M
África,Liberia,4613823,1M a 10M
África,Libya,6293253,1M a 10M
África,Madagascar,24894551,10M a 100M
África,Malawi,18091575,10M a 100M
África,Mali,17994837,10M a 100M
África,Mauritania,4301018,1M a 10M
África,Mauritius,1263473,1M a 10M
África,Morocco,35276786,10M a 100M
África,Mozambique,28829476,10M a 100M
África,Namibia,2479713,1M a 10M
África,Niger,20672987,10M a 100M
África,Nigeria,185989640,100M +
África,Republic of the Congo,5125821,1M a 10M
África,Rwanda,11917508,10M a 100M
África,Sao Tome and Principe,199910,0 a 1M
África,Senegal,15411614,10M a 100M
África,Seychelles,94677,0 a 1M
África,Sierra Leone,7396190,1M a 10M
África,Somalia,14317996,10M a 100M
África,South Africa,55908865,10M a 100M
África,South Sudan,12230730,10M a 100M
África,Sudan,39578828,10M a 100M
África,Swaziland,1343098,1M a 10M
África,Tanzania,55572201,10M a 100M
África,The Gambia,2038501,1M a 10M
África,Togo,7606374,1M a 10M
África,Tunisia,11403248,10M a 100M
África,Uganda,41487965,10M a 100M
África,Zambia,16591390,10M a 100M
África,Zimbabwe,16150362,10M a 100M
América,Antigua and Barbuda,100963,0 a 1M
América,Argentina,43847430,10M a 100M
América,Aruba,104822,0 a 1M
América,Barbados,284996,0 a 1M
América,Belize,366954,0 a 1M
América,Bermuda,65331,0 a 1M
América,Bolivia,10887882,10M a 100M
América,Brazil,207652865,100M +
América,British Virgin Islands,30661,0 a 1M
América,Canada,36286425,10M a 100M
América,Cayman Islands,60765,0 a 1M
América,Chile,17909754,10M a 100M
América,Colombia,48653419,10M a 100M
América,Costa Rica,4857274,1M a 10M
América,Cuba,11475982,10M a 100M
América,Curacao,159999,0 a 1M
América,Dominica,73543,0 a 1M
América,Dominican Republic,10648791,10M a 100M
América,Ecuador,16385068,10M a 100M
América,El Salvador,6344722,1M a 10M
América,Greenland,56186,0 a 1M
América,Grenada,107317,0 a 1M
América,Guatemala,16582469,10M a 100M
América,Guyana,773303,0 a 1M
América,Haiti,10847334,10M a 100M
América,Honduras,9112867,1M a 10M
América,Jamaica,2881355,1M a 10M
América,Mexico,127540423,100M +
América,Nicaragua,6149928,1M a 10M
América,Panama,4034119,1M a 10M
América,Paraguay,6725308,1M a 10M
América,Peru,31773839,10M a 100M
América,Puerto Rico,3411307,1M a 10M
América,Saint Kitts and Nevis,54821,0 a 1M
América,Saint Lucia,178015,0 a 1M
América,Saint Pierre and Miquelon,31949,0 a 1M
América,Saint Vincent and the Grenadines,109643,0 a 1M
América,Sint Maarten,40005,0 a 1M
América,Suriname,558368,0 a 1M
América,The Bahamas,391232,0 a 1M
América,Trinidad and Tobago,1364962,1M a 10M
América,Turks and Caicos Islands,34900,0 a 1M
América,United States,323127513,100M +
América,Uruguay,3444006,1M a 10M
América,Venezuela,31568179,10M a 100M
América,Virgin Islands,102951,0 a 1M
Asia,Afghanistan,34656032,10M a 100M
Asia,Bahrain,1425171,1M a 10M
Asia,Bangladesh,162951560,100M +
Asia,Bhutan,797765,0 a 1M
Asia,Brunei,423196,0 a 1M
Asia,Cambodia,15762370,10M a 100M
Asia,China,1378665000,100M +
Asia,Hong Kong,7346700,1M a 10M
Asia,India,1324171354,100M +
Asia,Indonesia,261115456,100M +
Asia,Iran,80277428,10M a 100M
Asia,Iraq,37202572,10M a 100M
Asia,Israel,8547100,1M a 10M
Asia,Japan,126994511,100M +
Asia,Jordan,9455802,1M a 10M
Asia,Kazakhstan,17797032,10M a 100M
Asia,Kuwait,4052584,1M a 10M
Asia,Kyrgyzstan,6082700,1M a 10M
Asia,Laos,6758353,1M a 10M
Asia,Lebanon,6006668,1M a 10M
Asia,Macau,612167,0 a 1M
Asia,Malaysia,31187265,10M a 100M
Asia,Maldives,417492,0 a 1M
Asia,Mongolia,3027398,1M a 10M
Asia,Myanmar,52885223,10M a 100M
Asia,Nepal,28982771,10M a 100M
Asia,North Korea,25368620,10M a 100M
Asia,Oman,4424762,1M a 10M
Asia,Pakistan,193203476,100M +
Asia,Philippines,103320222,100M +
Asia,Qatar,2569804,1M a 10M
Asia,Russia,144342396,100M +
Asia,Saudi Arabia,32275687,10M a 100M
Asia,Singapore,5607283,1M a 10M
Asia,South Korea,51245707,10M a 100M
Asia,Sri Lanka,21203000,10M a 100M
Asia,Syria,18430453,10M a 100M
Asia,Tajikistan,8734951,1M a 10M
Asia,Thailand,68863514,10M a 100M
Asia,Timor-Leste,1268671,1M a 10M
Asia,Turkey,79512426,10M a 100M
Asia,Turkmenistan,5662544,1M a 10M
Asia,United Arab Emirates,9269612,1M a 10M
Asia,Uzbekistan,31848200,10M a 100M
Asia,Vietnam,92701100,10M a 100M
Asia,West Bank,4551566,1M a 10M
Asia,Yemen,27584213,10M a 100M
Europa,Albania,2876101,1M a 10M
Europa,Andorra,77281,0 a 1M
Europa,Armenia,2924816,1M a 10M
Europa,Austria,8747358,1M a 10M
Europa,Azerbaijan,9762274,1M a 10M
Europa,Belarus,9507120,1M a 10M
Europa,Belgium,11348159,10M a 100M
Europa,Bosnia and Herzegovina,3516816,1M a 10M
Europa,Bulgaria,7127822,1M a 10M
Europa,Croatia,4170600,1M a 10M
Europa,Cyprus,1170125,1M a 10M
Europa,Czech Republic,10561633,10M a 100M
Europa,Denmark,5731118,1M a 10M
Europa,Estonia,1316481,1M a 10M
Europa,Faroe Islands,49117,0 a 1M
Europa,Finland,5495096,1M a 10M
Europa,France,66896109,10M a 100M
Europa,Georgia,3719300,1M a 10M
Europa,Germany,82667685,10M a 100M
Europa,Gibraltar,34408,0 a 1M
Europa,Greece,10746740,10M a 100M
Europa,Guernsey,164541,0 a 1M
Europa,Hungary,9817958,1M a 10M
Europa,Iceland,334252,0 a 1M
Europa,Ireland,4773095,1M a 10M
Europa,Isle of Man,83737,0 a 1M
Europa,Italy,60600590,10M a 100M
Europa,Kosovo,1816200,1M a 10M
Europa,Latvia,1960424,1M a 10M
Europa,Liechtenstein,37666,0 a 1M
Europa,Lithuania,2872298,1M a 10M
Europa,Luxembourg,582972,0 a 1M
Europa,Macedonia,2081206,1M a 10M
Europa,Malta,436947,0 a 1M
Europa,Moldova,3552000,1M a 10M
Europa,Monaco,38499,0 a 1M
Europa,Montserrat,622781,0 a 1M
Europa,Netherlands,17018408,10M a 100M
Europa,Norway,5232929,1M a 10M
Europa,Poland,37948016,10M a 100M
Europa,Portugal,10324611,10M a 100M
Europa,Romania,19705301,10M a 100M
Europa,San Marino,33203,0 a 1M
Europa,Serbia,7057412,1M a 10M
Europa,Slovakia,5428704,1M a 10M
Europa,Slovenia,2064845,1M a 10M
Europa,Spain,46443959,10M a 100M
Europa,Sweden,9903122,1M a 10M
Europa,Switzerland,8372098,1M a 10M
Europa,Ukraine,45004645,10M a 100M
Europa,United Kingdom,65637239,10M a 100M
Oceanía,American Samoa,55599,0 a 1M
Oceanía,Australia,24127159,10M a 100M
Oceanía,Fiji,898760,0 a 1M
Oceanía,French Polynesia,280208,0 a 1M
Oceanía,Guam,162896,0 a 1M
Oceanía,Kiribati,114395,0 a 1M
Oceanía,Marshall Islands,53066,0 a 1M
Oceanía,Micronesia,104937,0 a 1M
Oceanía,Nauru,13049,0 a 1M
Oceanía,New Caledonia,278000,0 a 1M
Oceanía,New Zealand,4692700,1M a 10M
Oceanía,Northern Mariana Islands,55023,0 a 1M
Oceanía,Palau,21503,0 a 1M
Oceanía,Papua New Guinea,8084991,1M a 10M
Oceanía,Samoa,195125,0 a 1M
Oceanía,Solomon Islands,599419,0 a 1M
Oceanía,Tonga,107122,0 a 1M
Oceanía,Tuvalu,11097,0 a 1M
Oceanía,Vanuatu,270402,0 a 1M
